frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065137.715456515","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.784163445","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065137.784183126","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784065137.784236813","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065137.785593286","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065137.785892733","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065137.785906700","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.791333664","127.0.0.1","127.0.0.1","34719","57662","229","0x0018"
"1784065137.791348640","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065137.798740222","127.0.0.1","127.0.0.1","57668","34719","247","0x0018"
"1784065137.800080118","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065137.843491697","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065138.265014205","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784065138.265014421","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065138.266633111","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065138.266655676","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065138.266661570","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065138.266679203","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065138.272046090","127.0.0.1","127.0.0.1","34719","57662","528","0x0018"
"1784065138.272062949","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065138.278956659","127.0.0.1","127.0.0.1","57668","34719","546","0x0018"
"1784065138.280483896","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065138.323550095","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065138.593577773","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784065138.593577926","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065138.595095636","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065138.595118323","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065138.595179036","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065138.595193827","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065138.600697009","127.0.0.1","127.0.0.1","34719","57662","237","0x0018"
"1784065138.600713538","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
